video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_recorded_frames,video_fps_used,mhi_tau_sec,mhi_tau_frames,avg_mhi_active_ratio,avg_mhi_recent_ratio,gate_start_metric,gate_start_threshold,gate_start_consecutive,gate_stay_metric,gate_stay_threshold,gate_pre_roll_sec,gate_post_roll_sec,comp_min_blob_area,comp_max_blobs
deer_day,2762,1261,748,1080,0.6865523241362168,0.7868945868945869,40.94845114274314,8.455865876410522,31.94045000845881,data\benchmarks\videos\Test_Deer_Day.mp4,68.05954999154119,5911,0,5910,60,5911,4023,30.0,1.0,30,0.023916277209158156,0.023156149992246033,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
deer_night,995,122,490,1571,0.8907788719785139,0.67003367003367,39.95186340882854,7.993125911715106,65.50339715873997,data\benchmarks\videos\Test_Deer_Night.mp4,34.496602841260035,3238,0,3237,60,3238,1117,30.0,1.0,30,0.009594358282290162,0.008565000686294691,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_day,789,6,21,450,0.9924528301886792,0.9740740740740741,34.965555433978935,7.529995738034475,40.04524886877828,data\benchmarks\videos\Test_Fox_Day.mp4,59.95475113122172,1326,0,1325,60,1326,795,30.0,1.0,30,0.4002983630017177,0.3977085624581033,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_night,2226,1205,24,450,0.6487904401049257,0.9893333333333333,38.97768620755451,5.6666213337218805,13.467843631778052,data\benchmarks\videos\Test_Fox_Night.mp4,86.53215636822195,3965,0,3964,60,3965,3431,30.0,1.0,30,0.1421666721399049,0.1386626077133252,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
