video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_recorded_frames,video_fps_used,mhi_tau_sec,mhi_tau_frames,avg_mhi_active_ratio,avg_mhi_recent_ratio,gate_start_metric,gate_start_threshold,gate_start_consecutive,gate_stay_metric,gate_stay_threshold,gate_pre_roll_sec,gate_post_roll_sec,comp_min_blob_area,comp_max_blobs
deer_day,2678,1230,832,1111,0.6852610030706243,0.762962962962963,41.52617305959238,8.569031690804474,33.8859753002876,data\benchmarks\videos\Test_Deer_Day.mp4,66.1140246997124,5911,0,5910,60,5911,3908,30.0,1.0,30,0.010818584759581952,0.010055795074860407,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
deer_night,870,78,615,1615,0.9177215189873418,0.5858585858585859,41.21153890812624,7.438101974886731,70.72266831377394,data\benchmarks\videos\Test_Deer_Night.mp4,29.277331686226066,3238,0,3237,60,3238,948,30.0,1.0,30,0.008202945383810317,0.007227010200054914,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_day,789,6,21,450,0.9924528301886792,0.9740740740740741,37.98401289563646,8.16026765676763,40.04524886877828,data\benchmarks\videos\Test_Fox_Day.mp4,59.95475113122172,1326,0,1325,60,1326,795,30.0,1.0,30,0.2711071668918635,0.267083938877367,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_night,2032,638,218,1017,0.7610486891385768,0.9031111111111111,39.29633210721909,8.112688488217616,32.66078184110971,data\benchmarks\videos\Test_Fox_Night.mp4,67.33921815889029,3965,0,3964,60,3965,2670,30.0,1.0,30,0.08081980567815611,0.07769217414529922,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
