video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_recorded_frames,video_fps_used,mhi_tau_sec,mhi_tau_frames,avg_mhi_active_ratio,avg_mhi_recent_ratio,gate_start_metric,gate_start_threshold,gate_start_consecutive,gate_stay_metric,gate_stay_threshold,gate_pre_roll_sec,gate_post_roll_sec,comp_min_blob_area,comp_max_blobs
deer_day,3379,1279,131,1062,0.7254186346071275,0.9626780626780627,41.59062372985557,9.74578129497843,21.1977668753172,data\benchmarks\videos\Test_Deer_Day.mp4,78.8022331246828,5911,0,5910,60,5911,4658,30.0,1.2,36,0.024358549385326937,0.02364129773938426,vibe_fg_pixels,550.0,1,mhi_active_ratio,0.001,0.0,1.5,200,3
deer_night,1157,141,328,1552,0.8913713405238829,0.7791245791245791,39.702534340408036,8.134968896015964,59.91352686843731,data\benchmarks\videos\Test_Deer_Night.mp4,40.08647313156269,3238,0,3237,60,3238,1298,30.0,1.2,36,0.010031384578100338,0.009078051545020928,vibe_fg_pixels,550.0,1,mhi_active_ratio,0.001,0.0,1.5,200,3
fox_day,790,6,20,450,0.992462311557789,0.9753086419753086,39.044300352198015,7.854311938720291,39.969834087481146,data\benchmarks\videos\Test_Fox_Day.mp4,60.030165912518854,1326,0,1325,60,1326,796,30.0,1.2,36,0.40213450998722144,0.39966981811421154,vibe_fg_pixels,550.0,1,mhi_active_ratio,0.001,0.0,1.5,200,3
fox_night,2227,1205,23,450,0.6488927738927739,0.9897777777777778,40.0418802317348,7.730036215277064,13.442622950819668,data\benchmarks\videos\Test_Fox_Night.mp4,86.55737704918033,3965,0,3964,60,3965,3432,30.0,1.2,36,0.14464928147330827,0.1412868075259212,vibe_fg_pixels,550.0,1,mhi_active_ratio,0.001,0.0,1.5,200,3
