video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_motion_frames,video_fps_used
deer_day,2924,1301,586,1040,0.6920710059171598,0.833048433048433,42.93051161715701,8.460129524619791,28.523092539333447,data\benchmarks\videos\Test_Deer_Day.mp4,71.47690746066655,5911,0,5910,60,5911,4225,30.0
deer_night,956,90,529,1603,0.9139579349904398,0.6437710437710438,39.168877546983964,7.839226864031995,67.69610870907968,data\benchmarks\videos\Test_Deer_Night.mp4,32.30389129092032,3238,0,3237,60,3238,1046,30.0
fox_day,790,6,20,450,0.992462311557789,0.9753086419753086,43.039409190824344,7.384875332189429,39.969834087481146,data\benchmarks\videos\Test_Fox_Day.mp4,60.030165912518854,1326,0,1325,60,1326,796,30.0
fox_night,2227,1205,23,450,0.6488927738927739,0.9897777777777778,43.99522241399599,7.093979623289213,13.442622950819668,data\benchmarks\videos\Test_Fox_Night.mp4,86.55737704918033,3965,0,3964,60,3965,3432,30.0
