video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_recorded_frames,video_fps_used,mhi_tau_sec,mhi_tau_frames,avg_mhi_active_ratio,avg_mhi_recent_ratio,gate_start_metric,gate_start_threshold,gate_start_consecutive,gate_stay_metric,gate_stay_threshold,gate_pre_roll_sec,gate_post_roll_sec,comp_min_blob_area,comp_max_blobs
deer_day,1477,657,2033,1684,0.6921274601686973,0.4207977207977208,41.98837670524721,9.348590232588407,63.897817628150904,data\benchmarks\videos\Test_Deer_Day.mp4,36.102182371849096,5911,0,5910,60,5911,2134,30.0,1.0,30,0.0054150887175980905,0.004824819016804842,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
deer_night,799,47,686,1646,0.9444444444444444,0.538047138047138,41.06138308639229,8.179203067589764,73.87276096355775,data\benchmarks\videos\Test_Deer_Night.mp4,26.127239036442244,3238,0,3237,60,3238,846,30.0,1.0,30,0.007076139302810372,0.006171070748404361,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_day,789,6,21,450,0.9924528301886792,0.9740740740740741,41.55029450698463,8.584722627552592,40.04524886877828,data\benchmarks\videos\Test_Fox_Day.mp4,59.95475113122172,1326,0,1325,60,1326,795,30.0,1.0,30,0.21200481882122474,0.20808862153301486,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_night,1650,99,600,1556,0.9433962264150944,0.7333333333333333,41.60334725527546,7.963336797372445,55.8890290037831,data\benchmarks\videos\Test_Fox_Night.mp4,44.1109709962169,3965,0,3964,60,3965,1749,30.0,1.0,30,0.047139881734272096,0.044295078683270254,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
