video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_recorded_frames,video_fps_used,mhi_tau_sec,mhi_tau_frames,avg_mhi_active_ratio,avg_mhi_recent_ratio,gate_start_metric,gate_start_threshold,gate_start_consecutive,gate_stay_metric,gate_stay_threshold,gate_pre_roll_sec,gate_post_roll_sec,comp_min_blob_area,comp_max_blobs
deer_day,1482,1090,2028,1251,0.5762052877138414,0.4222222222222222,41.796260204560255,9.273667791305632,56.487903907968196,data\benchmarks\videos\Test_Deer_Day.mp4,43.512096092031804,5911,0,5910,60,5911,2572,30.0,1.0,30,0.010076640303389145,0.009497311245277147,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
deer_night,807,90,678,1603,0.8996655518394648,0.5434343434343434,41.98364502343164,6.770554047975134,72.29771463866584,data\benchmarks\videos\Test_Deer_Night.mp4,27.702285361334155,3238,0,3237,60,3238,897,30.0,1.0,30,0.007956337717040692,0.007034993791177686,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_day,789,6,21,450,0.9924528301886792,0.9740740740740741,39.31459107946454,9.593181933862416,40.04524886877828,data\benchmarks\videos\Test_Fox_Day.mp4,59.95475113122172,1326,0,1325,60,1326,795,30.0,1.0,30,0.35722436944863384,0.3546355639611608,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
fox_night,2085,675,165,980,0.7554347826086957,0.9266666666666666,41.17417002691669,8.30824244122544,30.390920554854986,data\benchmarks\videos\Test_Fox_Night.mp4,69.60907944514501,3965,0,3964,60,3965,2760,30.0,1.0,30,0.14467625468509224,0.14154963679592297,vibe_fg_pixels,900.0,2,mhi_active_ratio,0.002,0.0,1.0,120,3
