video_id,tp,fp,fn,tn,precision,recall,avg_fps,min_fps,saved_frames_pct,video_path,kept_frames_pct,total_frames,eval_start_frame,eval_end_frame,warmup_frames,processed_frames,pred_motion_frames,video_fps_used
deer_day,1853,1145,1657,1196,0.6180787191460974,0.527920227920228,39.116483226375045,7.6057715636683225,49.28100152258501,data\benchmarks\videos\Test_Deer_Day.mp4,50.71899847741499,5911,0,5910,60,5911,2998,30.0
deer_night,664,90,821,1603,0.8806366047745358,0.4471380471380471,39.92074157173957,6.624591676737798,76.71402100061766,data\benchmarks\videos\Test_Deer_Night.mp4,23.285978999382333,3238,0,3237,60,3238,754,30.0
fox_day,790,6,20,450,0.992462311557789,0.9753086419753086,38.62014227637016,7.028207006004828,39.969834087481146,data\benchmarks\videos\Test_Fox_Day.mp4,60.030165912518854,1326,0,1325,60,1326,796,30.0
fox_night,2130,616,120,1039,0.775673707210488,0.9466666666666667,41.61142199426032,7.408993480812521,30.74401008827239,data\benchmarks\videos\Test_Fox_Night.mp4,69.25598991172761,3965,0,3964,60,3965,2746,30.0
